#CO2_Inn(1953)_298K_106-175nm.dat
407
161.32  1.54e-19
161.58  1.48e-19
161.71  1.33e-19
162.00  1.26e-19
162.36  1.33e-19
162.63  1.20e-19
162.94  1.18e-19
163.21  9.75e-20
163.60  8.25e-20
164.16  8.00e-20
164.67  7.74e-20
165.06  6.07e-20
165.57  5.64e-20
166.15  6.09e-20
166.63  4.96e-20
167.16  4.61e-20
167.64  5.33e-20
168.15  4.10e-20
168.62  3.14e-20
169.12  2.97e-20
169.66  2.54e-20
170.09  1.58e-20
170.65  1.77e-20
171.23  1.51e-20
171.78  1.35e-20
172.36  1.45e-20
172.94  1.02e-20
173.69  7.69e-21
174.39  6.06e-21
175.00  5.30e-21
